model,model_display,shot_type,category,gap_pp,pi_ref,pi_model,n,gold_positives
llama,LLaMA,few_shot,not in my backyard,15.746180963572268,2.4676850763807283,18.213866039952997,1702,42
llama,LLaMA,few_shot,provide a fact or claim,-50.64629847238543,83.43125734430082,32.78495887191539,1702,1420
llama,LLaMA,few_shot,express their opinion,16.098707403055222,53.29024676850764,69.38895417156287,1702,907
llama,LLaMA,few_shot,harmful generalization,31.609870740305524,6.933019976498238,38.54289071680376,1702,118
phi4,Phi-4,few_shot,not in my backyard,13.45475910693302,2.4676850763807283,15.92244418331375,1702,42
phi4,Phi-4,few_shot,provide a fact or claim,-48.00235017626322,83.43125734430082,35.428907168037604,1702,1420
phi4,Phi-4,few_shot,express their opinion,-11.457109283196242,53.29024676850764,41.8331374853114,1702,907
phi4,Phi-4,few_shot,harmful generalization,0.940070505287896,6.933019976498238,7.873090481786134,1702,118
qwen,Qwen,few_shot,not in my backyard,16.568742655699175,2.4676850763807283,19.036427732079904,1702,42
qwen,Qwen,few_shot,provide a fact or claim,-16.03995299647474,83.43125734430082,67.3913043478261,1702,1420
qwen,Qwen,few_shot,express their opinion,16.451233842538183,53.29024676850764,69.74148061104583,1702,907
qwen,Qwen,few_shot,harmful generalization,17.450058754406577,6.933019976498238,24.383078730904817,1702,118
gemini,Gemini,few_shot,not in my backyard,4.817861339600471,2.4676850763807283,7.285546415981199,1702,42
gemini,Gemini,few_shot,provide a fact or claim,0.4112808460634554,83.43125734430082,83.84253819036428,1702,1420
gemini,Gemini,few_shot,express their opinion,7.4618096357226715,53.29024676850764,60.752056404230316,1702,907
gemini,Gemini,few_shot,harmful generalization,10.047003525264394,6.933019976498238,16.98002350176263,1702,118
grok,Grok,few_shot,not in my backyard,3.3490011750881314,2.4676850763807283,5.816686251468861,1702,42
grok,Grok,few_shot,provide a fact or claim,-27.320799059929502,83.43125734430082,56.110458284371326,1702,1420
grok,Grok,few_shot,express their opinion,-16.451233842538194,53.29024676850764,36.83901292596945,1702,907
grok,Grok,few_shot,harmful generalization,1.468860164512338,6.933019976498238,8.401880141010576,1702,118
gpt4,GPT-4.1,few_shot,not in my backyard,3.760282021151587,2.4676850763807283,6.227967097532315,1702,42
gpt4,GPT-4.1,few_shot,provide a fact or claim,-6.933019976498233,83.43125734430082,76.49823736780259,1702,1420
gpt4,GPT-4.1,few_shot,express their opinion,13.219741480611036,53.29024676850764,66.50998824911868,1702,907
gpt4,GPT-4.1,few_shot,harmful generalization,8.754406580493535,6.933019976498238,15.687426556991774,1702,118
