category,n,gold_pos_2of3,prevalence_2of3_pct,any_pos_1of3,split_vote_items,split_vote_pct,unanimous_pct
solutions/interventions,1702,678,39.83548766157462,1179,973,57.16803760282021,42.773207990599296
express their opinion,1702,907,53.290246768507636,1240,822,48.29612220916569,51.70387779083431
money aid allocation,1702,309,18.155111633372503,687,550,32.31492361927145,67.62632197414806
provide a fact or claim,1702,1420,83.43125734430082,1591,509,29.90599294947121,70.0352526439483
societal critique,1702,152,8.930669800235018,513,494,29.024676850763807,70.97532314923619
express others opinions,1702,112,6.580493537015276,456,441,25.91069330199765,74.08930669800235
government critique,1702,203,11.927144535840188,459,404,23.73678025851939,76.26321974148061
provide an observation,1702,148,8.695652173913043,419,376,22.09165687426557,77.90834312573443
harmful generalization,1702,118,6.933019976498238,361,332,19.506462984723854,80.43478260869566
personal interaction,1702,80,4.700352526439483,207,179,10.517038777908343,89.48296122209166
not in my backyard,1702,42,2.4676850763807288,177,173,10.164512338425382,89.83548766157462
ask a rhetorical question,1702,148,8.695652173913043,223,170,9.988249118683902,90.0117508813161
ask a genuine question,1702,113,6.63924794359577,203,156,9.165687426556993,90.77555816686251
deserving/undeserving,1702,23,1.3513513513513513,145,143,8.401880141010576,91.59811985898942
media portrayal,1702,11,0.6462984723854289,119,118,6.933019976498238,93.06698002350176
racist,1702,5,0.2937720329024677,47,44,2.5851938895417157,97.41480611045829
