Field,Llama_F1,Qwen_F1
ask a genuine question,0.18518518518518517,0.5161290322580645
ask a rhetorical question,0.07692307692307693,0.0759493670886076
provide a fact or claim,0.256198347107438,0.5887850467289719
provide an observation,0.14754098360655737,0.3686868686868687
express their opinion,0.7799442896935933,0.8232323232323232
express others opinions,0.1568627450980392,0.20606060606060606
money aid allocation,0.05,0.34965034965034963
government critique,0.410958904109589,0.21374045801526717
societal critique,0.1941747572815534,0.19
solutions/interventions,0.012903225806451613,0.5777777777777777
personal interaction,0.05263157894736842,0.2787878787878788
media portrayal,0.0,0.01834862385321101
not in my backyard,0.15584415584415584,0.14814814814814814
harmful generalization,0.20725388601036268,0.1901840490797546
deserving/undeserving,0.0,0.0
racist,0.0,0.0
