label,n_pos_gold,n_total_gold,prevalence_gold,source_gold,n_pos_gpt,n_total_gpt,prevalence_gpt,source_gpt,ord
ask a genuine question,113,1698,0.06654888103651355,gold,5670,50161,0.11303602400271127,gpt4.1_corpus,0
ask a rhetorical question,148,1698,0.08716136631330977,gold,4656,50161,0.0928211160064592,gpt4.1_corpus,1
provide a fact or claim,1416,1698,0.833922261484099,gold,37281,50161,0.7432268096728534,gpt4.1_corpus,2
provide an observation,148,1698,0.08716136631330977,gold,17601,50161,0.350890133769263,gpt4.1_corpus,3
express their opinion,907,1698,0.5341578327444052,gold,41695,50161,0.8312234604573274,gpt4.1_corpus,4
express others opinions,111,1698,0.06537102473498234,gold,8972,50161,0.17886405773409622,gpt4.1_corpus,5
money aid allocation,309,1698,0.18197879858657243,gold,11586,50161,0.23097625645421743,gpt4.1_corpus,6
government critique,203,1698,0.11955241460541814,gold,14694,50161,0.29293674368533323,gpt4.1_corpus,7
societal critique,152,1698,0.0895170789163722,gold,31440,50161,0.6267817627240286,gpt4.1_corpus,8
solutions/interventions,678,1698,0.3992932862190813,gold,17347,50161,0.3458264388668488,gpt4.1_corpus,9
personal interaction,80,1698,0.04711425206124853,gold,6776,50161,0.13508502621558582,gpt4.1_corpus,10
media portrayal,10,1698,0.005889281507656066,gold,3474,50161,0.06925699248420088,gpt4.1_corpus,11
not in my backyard,42,1698,0.024734982332155476,gold,4290,50161,0.08552461075337414,gpt4.1_corpus,12
harmful generalization,118,1698,0.06949352179034157,gold,12303,50161,0.24527022985985128,gpt4.1_corpus,13
deserving/undeserving,23,1698,0.013545347467608953,gold,13849,50161,0.27609098702178986,gpt4.1_corpus,14
racist,5,1698,0.002944640753828033,gold,69,50161,0.0013755706624668568,gpt4.1_corpus,15
